Image,model_name,Score
"3dgcqa-300/dreamfusion-if/a_quaint_cottage_in_a_forest_clearing,_storybook_style,_highest_quality@20240303-202114",dreamfusion-if,2.0
"3dgcqa-300/dreamfusion-if/a_pair_of_dueling_pistols_from_the_18th_century,_detailed_style,_highest_quality@20240306-142203",dreamfusion-if,1.4
"3dgcqa-300/dreamfusion-if/a_pirate_sailing_the_high_seas,_adventure_style,_highest_quality@20240304-153655",dreamfusion-if,3.3
"3dgcqa-300/dreamfusion-if/a_lone_cactus_in_the_desert_at_midday,_watercolor_style,_highest_quality@20240306-013255",dreamfusion-if,3.6
"3dgcqa-300/dreamfusion-if/a_lush_rainforest_with_a_waterfall,_vibrant_style,_highest_quality@20240306-030615",dreamfusion-if,3.0
"3dgcqa-300/dreamfusion-if/an_ancient_Viking_axe,_realistic_style,_highest_quality@20240306-123529",dreamfusion-if,2.9
"3dgcqa-300/dreamfusion-if/a_medieval_gargoyle_on_a_cathedral,_gothic_style,_highest_quality@20240306-234653",dreamfusion-if,2.9
"3dgcqa-300/dreamfusion-if/a_bonsai_tree_in_a_serene_garden,_Japanese_ink_style,_highest_quality@20240306-044348",dreamfusion-if,2.7
"3dgcqa-300/dreamfusion-if/a_flowing_evening_gown_on_a_mannequin,_sketch_style,_highest_quality@20240305-040041",dreamfusion-if,3.6
"3dgcqa-300/dreamfusion-if/a_steam_locomotive_chugging_through_the_mountains,_vintage_style,_highest_quality@20240306-190004",dreamfusion-if,3.5
"3dgcqa-300/dreamfusion-if/a_slice_of_cheesecake_with_strawberries,_digital_art_style,_highest_quality@20240304-173837",dreamfusion-if,3.5
"3dgcqa-300/dreamfusion-if/a_spaceship_launching_into_orbit,_retro-futurism_style,_highest_quality@20240306-173745",dreamfusion-if,4.0
"3dgcqa-300/dreamfusion-if/an_orchid_in_a_glass_greenhouse,_delicate_style,_highest_quality@20240306-061019",dreamfusion-if,1.3
"3dgcqa-300/dreamfusion-if/a_sailboat_on_the_high_seas_at_dawn,_watercolor_style,_highest_quality@20240306-200819",dreamfusion-if,2.7
"3dgcqa-300/dreamfusion-if/a_vintage_leather_jacket_on_a_hanger,_grunge_style,_highest_quality@20240305-062317",dreamfusion-if,2.4
"3dgcqa-300/dreamfusion-if/a_futuristic_laser_gun,_sci-fi_style,_highest_quality@20240306-110321",dreamfusion-if,3.1
"3dgcqa-300/dreamfusion-if/a_picnic_basket_on_a_sunny_day,_impressionist_style,_highest_quality@20240304-195126",dreamfusion-if,3.5
"3dgcqa-300/dreamfusion-if/a_robot_exploring_space,_sci-fi_style,_highest_quality@20240304-163700",dreamfusion-if,2.3
"3dgcqa-300/dreamfusion-if/a_futuristic_suit_of_armor,_sci-fi_style,_highest_quality@20240305-124629",dreamfusion-if,3.0
"3dgcqa-300/dreamfusion-if/a_detective_solving_a_mystery,_noir_style,_highest_quality@20240304-142819",dreamfusion-if,2.0
"3dgcqa-300/dreamfusion-if/a_renaissance_bust_in_a_gallery,_classical_style,_highest_quality@20240305-145147",dreamfusion-if,3.0
"3dgcqa-300/dreamfusion-if/a_dolphin_leaping_out_of_the_water,_watercolor_style,_highest_quality@20240301-231658",dreamfusion-if,3.9
"3dgcqa-300/dreamfusion-if/a_modern_skyscraper_in_a_bustling_city,_futurist_style,_highest_quality@20240303-010927",dreamfusion-if,2.5
"3dgcqa-300/dreamfusion-if/a_traditional_kimono_with_intricate_patterns,_watercolor_style,_highest_quality@20240305-114158",dreamfusion-if,3.3
"3dgcqa-300/dreamfusion-sd/a_quaint_cottage_in_a_forest_clearing,_storybook_style,_highest_quality@20240304-132424",dreamfusion-sd,2.7
"3dgcqa-300/dreamfusion-sd/a_modern_skyscraper_in_a_bustling_city,_futurist_style,_highest_quality@20240303-184538",dreamfusion-sd,2.6
"3dgcqa-300/dreamfusion-sd/a_playful_puppy_chasing_its_tail,_cartoon_style,_highest_quality@20240302-183438",dreamfusion-sd,2.7
"3dgcqa-300/dreamfusion-sd/an_ancient_Greek_statue_in_a_museum,_realistic_style,_highest_quality@20240305-151032",dreamfusion-sd,3.3
"3dgcqa-300/dreamfusion-sd/a_futuristic_suit_of_armor,_sci-fi_style,_highest_quality@20240305-135156",dreamfusion-sd,2.6
"3dgcqa-300/dreamfusion-sd/a_lone_cactus_in_the_desert_at_midday,_watercolor_style,_highest_quality@20240306-055027",dreamfusion-sd,3.2
"3dgcqa-300/dreamfusion-sd/an_ancient_Viking_axe,_realistic_style,_highest_quality@20240306-172402",dreamfusion-sd,3.3
"3dgcqa-300/dreamfusion-sd/a_majestic_eagle_soaring_above_mountains,_realistic_style,_highest_quality@20240302-224930",dreamfusion-sd,2.5
"3dgcqa-300/dreamfusion-sd/a_traditional_Japanese_temple_in_autumn,_ukiyo-e_style,_highest_quality@20240303-230028",dreamfusion-sd,2.8
"3dgcqa-300/dreamfusion-sd/a_modern_abstract_sculpture_in_a_public_park,_minimalistic_style,_highest_quality@20240305-164420",dreamfusion-sd,2.7
"3dgcqa-300/dreamfusion-sd/a_vintage_leather_jacket_on_a_hanger,_grunge_style,_highest_quality@20240305-094700",dreamfusion-sd,2.3
"3dgcqa-300/dreamfusion-sd/a_motorcycle_speeding_on_a_desert_highway,_dynamic_style,_highest_quality@20240305-072522",dreamfusion-sd,2.7
"3dgcqa-300/dreamfusion-sd/a_slice_of_cheesecake_with_strawberries,_digital_art_style,_highest_quality@20240304-201640",dreamfusion-sd,3.8
"3dgcqa-300/dreamfusion-sd/a_rustic_farmhouse_table_set_for_dinner,_country_style,_highest_quality@20240306-014452",dreamfusion-sd,2.5
"3dgcqa-300/dreamfusion-sd/a_medieval_longbow_with_arrows,_historic_style@20240306-120720",dreamfusion-sd,2.8
"3dgcqa-300/dreamfusion-sd/a_sailboat_on_the_high_seas_at_dawn,_watercolor_style,_highest_quality@20240305-061526",dreamfusion-sd,3.5
"3dgcqa-300/dreamfusion-sd/a_steaming_cup_of_coffee_on_a_rainy_day,_cozy_style,_highest_quality@20240305-011228",dreamfusion-sd,2.1
